 t = 35.589399525	 r = -0.5	 u = -0.0104666501284	 x1 = -0.000805616378784	 x0 = -0.429418921471
 t = 35.629625	 r = 0.5	 u = 0.219585716724	 x1 = 0.00644528865814	 x0 = -0.426196336746
 t = 35.669401525	 r = 0.5	 u = 0.219585716724	 x1 = -0.120849609375	 x0 = -0.388330101967
 t = 35.709402125	 r = 0.5	 u = 0.0604578405619	 x1 = -0.27392578125	 x0 = -0.194164991379
 t = 35.749403125	 r = 0.5	 u = -0.11880992353	 x1 = -0.302124023438	 x0 = 0.0741211175919
 t = 35.789404525	 r = 0.5	 u = -0.134402632713	 x1 = -0.200610399246	 x0 = 0.307763695717
 t = 35.82962005	 r = 0.5	 u = -0.064182549715	 x1 = -0.0870116949081	 x0 = 0.450366139412
 t = 35.869406525	 r = 0.5	 u = -0.064182549715	 x1 = -0.0136963129044	 x0 = 0.489843726158
 t = 35.909407125	 r = 0.5	 u = -7.27605365682e-05	 x1 = 0.0193359851837	 x0 = 0.489843726158
 t = 35.949408125	 r = 0.5	 u = 0.0191611237824	 x1 = 0.00644528865814	 x0 = 0.484204173088
 t = 35.989409525	 r = 0.5	 u = -0.00282874563709	 x1 = -0.0128905773163	 x0 = 0.495483279228
 t = 36.02962545	 r = 0.5	 u = -0.0160820372403	 x1 = -0.0209472179413	 x0 = 0.515624880791
 t = 36.069411525	 r = 0.5	 u = -0.0160820372403	 x1 = -0.01611328125	 x0 = 0.540600657463
 t = 36.109412125	 r = 0.5	 u = -0.0161668565124	 x1 = 0.000805616378784	 x0 = 0.553491234779
 t = 36.149413125	 r = 0.5	 u = -0.0138084543869	 x1 = 0.00886225700378	 x0 = 0.560742259026
 t = 36.189414525	 r = 0.5	 u = 0.00217253621668	 x1 = 0.0120849609375	 x0 = 0.560742259026
 t = 36.229630775	 r = 0.5	 u = -0.000427089631557	 x1 = 0.00161135196686	 x0 = 0.559936404228
 t = 36.269416525	 r = 0.5	 u = -0.000427089631557	 x1 = 0.00241696834564	 x0 = 0.563964724541
 t = 36.309417125	 r = 0.5	 u = -0.0161807443947	 x1 = 0.00241696834564	 x0 = 0.570410132408
 t = 36.349418125	 r = 0.5	 u = -0.0078705586493	 x1 = 0.0185302495956	 x0 = 0.567187428474
 t = 36.389419525	 r = 0.5	 u = -0.00872282125056	 x1 = 0.0120849609375	 x0 = 0.567187428474
 t = 36.4296344	 r = 0.5	 u = -0.00853817351162	 x1 = 0.0185302495956	 x0 = 0.565576195717
 t = 36.469421525	 r = 0.5	 u = -0.00853817351162	 x1 = 0.0193359851837	 x0 = 0.559936404228
 t = 36.509422125	 r = 0.5	 u = 0.00217253621668	 x1 = 0.0128905773163	 x0 = 0.553491234779
 t = 36.549423125	 r = 0.5	 u = -0.00618033623323	 x1 = 0.00483393669128	 x0 = 0.553491234779
 t = 36.589424525	 r = 0.5	 u = -0.00417739478871	 x1 = 0.0153076648712	 x0 = 0.549462914467
 t = 36.62965065	 r = -0.5	 u = -0.237084969878	 x1 = 0.0120849609375	 x0 = 0.547851443291
 t = 36.669426525	 r = -0.5	 u = -0.237084969878	 x1 = 0.140991210938	 x0 = 0.509179711342
 t = 36.709427125	 r = -0.5	 u = -0.0634961128235	 x1 = 0.294872999191	 x0 = 0.309375047684
 t = 36.749428125	 r = -0.5	 u = 0.111907735467	 x1 = 0.320654273033	 x0 = 0.0346435308456
 t = 36.789429525	 r = -0.5	 u = 0.12178991735	 x1 = 0.212695360184	 x0 = -0.190942406654
 t = 36.829644875	 r = -0.5	 u = 0.0482031516731	 x1 = 0.102319359779	 x0 = -0.331127882004
 t = 36.869431525	 r = -0.5	 u = 0.0482031516731	 x1 = 0.0225585699081	 x0 = -0.363354444504
 t = 36.909432125	 r = -0.5	 u = -0.0162331201136	 x1 = 0.00241696834564	 x0 = -0.365771532059
 t = 36.949433125	 r = -0.5	 u = -0.0301257688552	 x1 = 0.0153076648712	 x0 = -0.362548828125
 t = 36.989434525	 r = -0.5	 u = -0.00361868925393	 x1 = 0.0354492664337	 x0 = -0.373828172684
 t = 37.029650525	 r = -0.5	 u = 0.00240402296185	 x1 = 0.0362548828125	 x0 = -0.395581007004
 t = 37.069436525	 r = -0.5	 u = 0.00240402296185	 x1 = 0.0306152105331	 x0 = -0.412500023842
 t = 37.109437125	 r = -0.5	 u = 0.00552879273891	 x1 = 0.0145019292831	 x0 = -0.429418921471
 t = 37.149438125	 r = -0.5	 u = -0.00597770232707	 x1 = 0.00725102424622	 x0 = -0.432641625404
 t = 37.189439525	 r = -0.5	 u = -0.00876200199127	 x1 = 0.0136963129044	 x0 = -0.433447241783
 t = 37.229655975	 r = -0.5	 u = 0.000499734655023	 x1 = 0.0128905773163	 x0 = -0.439086914062
